CODLOCAL,NUMESTANTE,NUMPRATELEIRA
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
7,1,6
11,1,8
9,1,7
13,1,9
17,1,10
19,1,11
23,1,12
26,1,13
36,1,19
27,1,14
29,1,15
31,1,16
33,1,17
35,1,18
37,1,20
39,1,21
41,1,22
43,1,23
46,1,24
47,1,25
48,1,26
51,1,28
52,2,1
56,2,3
54,2,2
57,2,4
59,2,5
49,1,27
60,2,6
61,2,7
62,2,8
64,2,9
66,2,10
67,2,11
68,2,12
71,2,13
72,2,14
74,2,15
76,2,16
77,2,17
78,2,18
79,2,19
80,2,20
81,3,1
82,3,2
83,3,3
84,3,4
85,3,5
86,3,6
89,3,7
92,3,8
93,3,9
94,3,10
96,3,11
99,3,12
100,3,13
101,3,14
104,3,15
105,3,16
106,3,17
107,3,18
108,3,19
109,3,20
110,4,1
111,4,2
112,4,3
114,4,4
116,4,5
117,4,6
118,4,7
119,4,8
120,4,9
122,4,10
125,4,11
127,4,12
129,4,13
130,4,14
131,4,15
134,4,16
136,4,17
138,4,18
140,4,19
141,4,20
143,5,1
144,5,2
145,5,3
148,5,4
149,5,5
150,5,6
152,5,7
154,5,8
155,5,9
156,5,10
158,5,11
159,5,12
160,5,13
161,5,14
162,5,15
163,5,16
166,5,17
167,5,18
169,5,19
170,5,20
174,6,2
172,6,1
176,6,3
178,6,4
180,6,5
182,6,6
184,6,7
187,6,8
189,6,9
191,6,10
193,6,11
195,6,12
197,6,13
199,6,14
201,6,15
204,6,16
206,6,17
207,6,18
209,6,19
210,6,20
211,6,21
212,6,22
213,7,1
214,7,2
216,7,3
218,7,4
219,7,5
220,7,6
222,7,7
224,7,8
226,7,9
228,7,10
230,7,11
231,7,12
233,7,13
235,7,14
236,7,15
238,7,16
240,7,17
242,7,18
243,7,19
244,7,20
246,7,21
249,7,22
251,7,23
254,7,24
256,7,25
258,7,26
260,7,27
262,7,28
265,7,29
267,7,30
269,8,1
271,8,2
273,8,3
275,8,4
277,8,5
279,8,6
281,8,7
284,8,8
286,8,9
288,8,10
290,8,11
292,8,12
294,8,13
296,8,14
298,8,15
300,8,16
302,8,17
304,8,18
306,8,19
311,8,21
313,8,22
309,8,20
314,8,23
319,8,25
315,8,24
321,8,26
323,8,27
324,8,28
325,8,29
326,8,30
328,9,1
329,9,2
330,9,3
331,9,4
333,9,5
335,9,6
336,9,7
337,9,8
338,9,9
339,9,10
340,9,11
341,9,12
342,9,13
343,9,14
344,9,15
347,9,17
348,9,18
345,9,16
349,9,19
350,9,20
351,9,21
352,9,22
353,9,23
354,9,24
355,9,25
356,9,26
357,9,27
358,9,28
359,9,29
360,9,30
361,10,1
362,10,2
363,10,3
364,10,4
365,10,5
366,10,6
367,10,7
368,10,8
369,10,9
370,10,10
373,10,12
374,10,13
372,10,11
375,10,14
376,10,15
377,10,16
378,10,17
379,10,18
380,10,19
381,10,20
382,10,21
383,10,22
384,10,23
385,10,24
386,10,25
387,10,26
388,10,27
389,10,28
390,10,29
391,10,30
393,10,31
394,10,32
395,10,33
396,10,34
398,10,35
400,10,36
401,10,37
402,10,38
403,10,39
405,10,40
406,10,41
407,10,42
408,10,43
409,10,44
410,10,45
411,10,46
412,10,47
413,10,48
414,10,49
415,10,50
419,10,51
